"Full Name",Position,"Birth Date",Age,"Hand Size","Arm Length",College,Height,BMI,"Draft Pick","Height (Inches)",Team
"Ramses Barden",WR,1/1/1986,33.2,"10 3/4","34 1/2","Cal Poly","6' 6""",25.9,3.21,78,-
"Randall Cobb",WR,8/22/1990,28.6,"9 3/8","31    ",Kentucky,"5' 10""",27.5,2.32,70,"Green Bay Packers"
"Rannell Hall",WR,1/30/1993,26.1,"8 5/8","30 1/2",UCF,"6' 0""",26.9,Undrafted,72,-
"Rashad Greene",WR,9/23/1992,26.5,"9    ","31 5/8","Florida State","5' 11""",25.4,5.03,71,-
"Rashad Ross",WR,2/2/1990,29.1,"8 5/8","30 1/2","Arizona State","6' 0""",23.7,Undrafted,72,-
"Rashard Davis",WR,12/7/1994,24.3,"9    ","29 1/4","James Madison","5' 8""",26.3,Undrafted,68,"Oakland Raiders"
"Rashard Higgins",WR,10/7/1994,24.5,"9 3/4","32 1/4","Colorado State","6' 1""",25.9,5.35,73,"Cleveland Browns"
"Rashawn Scott",WR,1/29/1992,27.1,"9 3/8","31 3/8",Miami,"6' 1""",26.3,Undrafted,73,-
"Rasheed Bailey",WR,7/29/1993,25.6,"9 1/2","31    ","Delaware Valley","6' 2""",26.3,Undrafted,74,-
"Ray-Ray McCloud",WR,10/15/1996,22.4,"9 1/4","30 1/4",Clemson,"5' 10""",27.3,6.13,70,"Buffalo Bills"
"Reggie Davis",WR,11/22/1995,23.3,"9 1/4","31 3/4",Georgia,"6' 0""",21.4,Undrafted,72,"Dallas Cowboys"
"Reggie Diggs",WR,5/8/1993,25.9,"9 1/4","32 5/8",Richmond,"6' 3""",26.7,Undrafted,75,-
"Reggie Wayne",WR,11/17/1978,40.4,-,-,"Miami (FL)","6' 0""",26.9,1.30,72,-
"Ricardo Lockette",WR,5/21/1986,32.8,"9 3/4","33 3/4","Fort Valley State","6' 2""",27.1,Undrafted,74,-
"Ricardo Louis",WR,3/23/1994,25.0,"9 1/2","32 3/8",Auburn,"6' 2""",27.6,4.16,74,"Cleveland Browns"
"Richard Mullaney",WR,2/23/1993,26.1,"8 5/8","31 1/4",Alabama,"6' 2""",26.2,Undrafted,74,-
"Richie James",WR,9/5/1995,23.5,"9 1/4","31 1/4","Middle Tennessee","5' 9""",27.3,7.22,69,"San Francisco 49ers"
"Ricky Collins",WR,3/5/1992,27.0,"9    ","32 3/8","TAMU Commerce","6' 0""",27.1,Undrafted,72,-
"Ricky Jeune",WR,12/3/1993,25.3,"9 5/8","32 1/2","Georgia Tech","6' 2""",27.3,Undrafted,74,-
"Rico Gafford",WR,5/23/1996,22.8,"8 1/2","29 3/4",Wyoming,"5' 10""",26.4,Undrafted,70,"Oakland Raiders"
"Rico Richardson",WR,7/1/1991,27.7,"8 3/4","31 5/8","Jackson State","6' 1""",24.4,Undrafted,73,-
"Riley Cooper",WR,9/9/1987,31.5,"10 3/8","32 5/8",Florida,"6' 3""",27.7,5.28,75,-
"Riley McCarron",WR,6/16/1993,25.8,"8 1/8","30 1/8",Iowa,"5' 9""",27.8,Undrafted,69,-
"Riley Ridley",WR,7/21/1996,22.7,"10 1/4","32 5/8",Georgia,"6' 1""",26.3,-,73,-
"Rishard Matthews",WR,10/12/1989,29.4,"9 1/8","32 1/2",Nevada,"6' 0""",28.5,7.20,72,-
"River Cracraft",WR,11/1/1994,24.4,"8 1/2","29 1/2","Washington State","6' 0""",26.2,Undrafted,72,"Denver Broncos"
"Robby Anderson",WR,5/9/1993,25.9,"8 5/8","30    ",Temple,"6' 3""",23.7,Undrafted,75,"New York Jets"
"Robert Davis",WR,4/2/1995,24.0,"9 5/8","33    ","Georgia State","6' 3""",27.4,6.25,75,Washington
"Robert Foster",WR,5/7/1994,24.9,"9 1/4","32 1/8",Alabama,"6' 2""",25.2,Undrafted,74,"Buffalo Bills"
"Robert Herron",WR,6/2/1992,26.8,"9 3/4","30 1/2",Wyoming,"5' 9""",28.5,6.09,69,-
"Robert Meachem",WR,9/28/1984,34.5,-,-,Tennessee,"6' 2""",27.6,1.27,74,-
"Robert Wheelwright",WR,12/14/1994,24.3,"9 1/8","31 7/8",Wisconsin,"6' 2""",26.3,Undrafted,74,-
"Robert Woods",WR,4/10/1992,26.9,"9 1/4","31    ",USC,"6' 0""",27.3,2.09,72,"Los Angeles Rams"
"Rod Streater",WR,2/9/1988,31.1,-,"32 1/8",Temple,"6' 3""",25.0,Undrafted,75,-
"Roddy White",WR,11/2/1981,37.4,"9 5/8","31 5/8",UAB,"6' 1""",27.4,1.27,73,-
"Rodney Adams",WR,9/15/1994,24.5,"9    ","32    ","South Florida","6' 1""",24.9,5.27,73,-
"Rodney Smith",WR,3/11/1990,29.0,"10 1/4","34 3/4","Florida State","6' 4""",26.7,Undrafted,76,-
"Roger Lewis",WR,11/27/1993,25.3,"9 3/4","32    ","Bowling Green","6' 0""",27.3,Undrafted,72,"Tennessee Titans"
"Ross Apo",WR,9/26/1990,28.5,"9 1/4","34 3/8",BYU,"6' 3""",26.2,Undrafted,75,-
"Rudy Rudolph",WR,7/10/1993,25.7,"8 3/8","31 5/8","Christ. Newport","6' 1""",22.4,Undrafted,73,-
"Rueben Randle",WR,5/7/1991,27.9,"9 1/2","33    ",LSU,"6' 3""",26.0,2.31,75,-
"Russell Gage",WR,1/22/1996,23.2,"9 1/8","33    ",LSU,"6' 0""",25.2,6.20,72,"Atlanta Falcons"
"Russell Shepard",WR,9/17/1990,28.5,"9 1/4","30 7/8",LSU,"6' 1""",25.7,Undrafted,73,"New York Giants"
"Ryan Broyles",WR,4/9/1988,31.0,"9    ","30 1/4",Oklahoma,"5' 10""",27.0,2.22,70,-
"Ryan Davis",WR,-,-,"9 1/4","30 7/8",Auburn,"5' 10""",27.1,-,70,-
"Ryan Grant",WR,12/19/1990,28.3,"9 5/8","31    ",Tulane,"6' 1""",25.2,5.02,73,-
"Ryan Spadola",WR,2/15/1991,28.1,"9 3/4","30 3/4",Lehigh,"6' 1""",26.9,Undrafted,73,-
"Ryan Switzer",WR,11/4/1994,24.4,"9 1/4","28    ","North Carolina","5' 8""",27.5,4.27,68,"Pittsburgh Steelers"
"Ryan Whalen",WR,7/26/1989,29.7,"9    ","30    ",Stanford,"6' 1""",26.6,6.02,73,-
"Saalim Hakim",WR,2/1/1990,29.1,-,-,"Tarleton State","5' 11""",26.2,Undrafted,71,-
"Saeed Blacknall",WR,3/17/1996,23.0,"9 7/8","33 3/8","Penn State","6' 2""",26.7,Undrafted,74,"Oakland Raiders"
"Sam Mentkowski",WR,-,-,-,-,"UW Oshkosh","6' 1""",25.7,Undrafted,73,-
"Sammie Coates",WR,3/31/1993,26.0,"9 3/8","33 3/8",Auburn,"6' 1""",28.0,3.23,73,"Kansas City Chiefs"
"Sammy Watkins",WR,6/14/1993,25.8,"9 5/8","32    ",Clemson,"6' 1""",27.8,1.04,73,"Kansas City Chiefs"
"Santana Moss",WR,6/1/1979,39.8,-,-,"Miami (FL)","5' 10""",28.7,1.16,70,-
"Santonio Holmes",WR,3/3/1984,35.1,"9 5/8","32    ","Ohio State","5' 11""",26.8,1.25,71,-
"Seantavius Jones",WR,8/9/1992,26.6,"9 5/8","34 7/8","Valdosta State","6' 3""",26.0,Undrafted,75,-
"Seth Roberts",WR,2/22/1991,28.1,"8 7/8","32 1/2","West Alabama","6' 2""",25.2,Undrafted,74,"Oakland Raiders"
"Seyi Ajirotutu",WR,6/12/1987,31.8,"9 3/8","32 5/8","Fresno State","6' 3""",26.4,Undrafted,75,-
"Shane Wynn",WR,11/15/1992,26.3,"8 7/8","29 1/2",Indiana,"5' 6""",25.3,Undrafted,66,"New Orleans Saints"
"Shaq Evans",WR,3/7/1991,28.0,"9 5/8","32    ",UCLA,"6' 1""",28.1,4.15,73,-
"Shaq Hill",WR,5/12/1993,25.9,"8 1/4","30    ","E. Washington","5' 9""",28.5,Undrafted,69,-
"Shay Fields",WR,6/22/1996,22.7,"8 7/8","30 1/8",Colorado,"5' 10""",26.8,Undrafted,70,-
"Shelton Gibson",WR,3/20/1994,25.0,"8 7/8","32    ","West Virginia","5' 11""",26.6,5.22,71,"Philadelphia Eagles"
"Sidney Rice",WR,9/1/1986,32.6,"9 1/4","32 1/2","South Carolina","6' 3""",25.2,2.12,75,-
"Simmie Cobbs",WR,10/25/1995,23.4,"9 1/4","32    ",Indiana,"6' 3""",27.5,Undrafted,75,"New Orleans Saints"
"Skye Dawson",WR,12/2/1990,28.3,"8 1/8","28 1/4","Texas Christian","5' 9""",23.6,Undrafted,69,-
"Solomon Patton",WR,10/17/1990,28.4,"9 1/8","29 3/4",Florida,"5' 8""",27.2,Undrafted,68,-
"Speedy Noil",WR,10/14/1995,23.4,"9 1/4","30    ","Texas A&M","5' 11""",27.8,Undrafted,71,-
"Stacy Coley",WR,5/13/1995,23.9,"9 3/4","32 1/4",Miami,"6' 0""",26.4,7.01,72,"New York Jets"
"Stanley Morgan",WR,9/7/1996,22.5,"9 7/8","32 3/8",Nebraska,"6' 0""",27.4,-,72,-
"Stedman Bailey",WR,11/11/1990,28.4,"9 7/8","32 3/4","West Virginia","5' 10""",27.7,3.30,70,-
"Stefon Diggs",WR,2/10/1994,25.1,"10    ","31 1/4",Maryland,"6' 0""",26.4,5.10,72,"Minnesota Vikings"
"Stephen Hill",WR,4/25/1991,27.9,"9 3/8","33 3/8","Georgia Tech","6' 4""",26.2,2.11,76,-
"Sterling Shepard",WR,2/10/1993,26.1,"9 3/4","30 3/8",Oklahoma,"5' 10""",27.8,2.09,70,"New York Giants"
"Steve Ishmael",WR,7/1/1995,23.7,"8 1/2","32 3/4",Syracuse,"6' 2""",27.2,Undrafted,74,"Indianapolis Colts"
"Steve Johnson",WR,7/22/1986,32.7,"9 5/8","32 3/4",Kentucky,"6' 2""",25.9,7.17,74,-
"Steve Smith",WR,5/12/1979,39.9,-,-,Utah,"5' 9""",27.3,3.12,69,-
"Steven Dunbar",WR,12/19/1995,23.3,"9 1/4","32 7/8",Houston,"6' 2""",26.3,Undrafted,74,"San Francisco 49ers"
"Steven Mitchell",WR,5/2/1994,24.9,"9 3/8","30 3/8",USC,"5' 10""",27.1,Undrafted,70,"Houston Texans"
"T.J. Graham",WR,7/27/1989,29.7,"9    ","32 3/4","NC State","5' 11""",25.1,3.06,71,-
"T.J. Jones",WR,7/19/1992,26.7,"10    ","30 5/8","Notre Dame","6' 0""",25.5,6.13,72,"Detroit Lions"
"T.J. Moe",WR,10/14/1990,28.4,"9 3/4","30 1/8",Missouri,"5' 11""",27.9,Undrafted,71,-
"T.Y. Hilton",WR,11/14/1989,29.4,"8 1/2","32    ","FL International","5' 9""",27.0,3.29,69,"Indianapolis Colts"
"Tajae Sharpe",WR,12/23/1994,24.2,"8 3/8","32 1/4",Massachusetts,"6' 2""",24.9,5.01,74,"Tennessee Titans"
"Tandon Doss",WR,9/22/1989,29.5,"10 1/8","31 1/4",Indiana,"6' 2""",26.6,4.26,74,-
"Tanner Gentry",WR,12/18/1994,24.3,"9 7/8","30 1/2",Wyoming,"6' 1""",27.4,Undrafted,73,"Chicago Bears"
"Tanner McEvoy",WR,1/26/1993,26.1,"10 3/8","31    ",Wisconsin,"6' 6""",25.7,Undrafted,78,-
"Tavares Martin",WR,2/4/1996,23.1,"9 1/8","32 1/8","Washington State","6' 1""",24.4,Undrafted,73,-
"Tavarres King",WR,7/14/1990,28.7,"9 1/2","33    ",Georgia,"6' 0""",25.6,5.28,72,-
"Taylor Gabriel",WR,2/17/1991,28.1,"8 3/8","29 3/4","Abilene Christian","5' 8""",25.4,Undrafted,68,"Chicago Bears"
"Taylor Price",WR,10/8/1987,31.5,"9 1/2","31 1/4",Ohio,"6' 0""",28.7,3.26,72,-
"Taywan Taylor",WR,3/2/1995,24.1,"9 1/4","32 5/8","Western Kentucky","5' 11""",28.3,3.08,71,"Tennessee Titans"
"Ted Ginn",WR,4/12/1985,33.9,"9 1/8","31 1/4","Ohio State","5' 11""",25.1,1.09,71,"New Orleans Saints"
"Tello Luckett",WR,2/1/1991,28.1,"9 1/4","31    ",Harding,"6' 0""",28.6,Undrafted,72,-
"Teo Redding",WR,12/8/1994,24.3,"9 3/8","32 5/8","Bowling Green","6' 1""",23.9,Undrafted,73,"Green Bay Packers"
"Terrance Williams",WR,9/8/1989,29.5,"8 3/4","31 1/4",Baylor,"6' 2""",26.7,3.12,74,-
"Terrelle Pryor",WR,6/20/1989,29.8,-,-,"Ohio State","6' 4""",28.4,Supplemental,76,-
"Terrence Toliver",WR,5/7/1988,30.9,"10    ","32    ",LSU,"6' 5""",24.2,Undrafted,77,-
"Terry Godwin",WR,10/23/1996,22.4,"9 3/8","30    ",Georgia,"5' 11""",25.7,-,71,-
"Terry McLaurin",WR,-,-,"9 1/8","31 1/2","Ohio State","6' 0""",28.2,-,72,-
"Tevaun Smith",WR,1/30/1993,26.1,"9 1/2","31 3/4",Iowa,"6' 0""",27.8,Undrafted,72,-
"Tevin Jones",WR,12/16/1992,26.3,"9 7/8","32 1/2",Memphis,"6' 2""",27.9,Undrafted,74,"Pittsburgh Steelers"
"Tevin Reese",WR,1/2/1991,28.2,"8 5/8","31 5/8",Baylor,"5' 10""",23.4,7.25,70,-
"Thomas Owens",WR,-,-,"9 5/8","31 5/8","Florida International","6' 1""",26.5,Undrafted,73,-
"Thomas Sperbeck",WR,10/21/1994,24.4,"8 7/8","29 1/4","Boise State","5' 11""",26.1,Undrafted,71,-
"Tim Benford",WR,9/7/1989,29.5,"8 7/8","33 1/8","Tennessee Tech","5' 11""",27.9,Undrafted,71,-
"Tim Patrick",WR,11/23/1993,25.3,"9 1/2","33 5/8",Utah,"6' 4""",25.3,Undrafted,76,"Denver Broncos"
"Tim White",WR,7/15/1994,24.7,"9 3/4","31 1/4","Arizona State","5' 10""",25.1,Undrafted,70,"New York Jets"
"Tiquan Underwood",WR,2/17/1987,32.1,"8 1/2","32 1/4",Rutgers,"6' 1""",23.1,7.44,73,-
"Titus Davis",WR,1/3/1993,26.2,"8 1/4","29 5/8","Central Michigan","6' 1""",25.9,Undrafted,73,-
"Tommy Streeter",WR,10/7/1988,30.5,"9 1/2","34 3/4","Miami (FL)","6' 5""",26.1,6.28,77,-
"Tommylee Lewis",WR,10/24/1992,26.4,"8 1/8","29 3/8","Northern Illinois","5' 6""",27.4,Undrafted,66,"New Orleans Saints"
"Toney Clemons",WR,10/11/1988,30.4,"9 3/8","31 5/8",Colorado,"6' 2""",27.0,7.24,74,-
"Tony Pierson",WR,-,-,"8 1/8","29 3/4",Kansas,"5' 11""",24.4,Undrafted,71,-
"Tony Stevens",WR,3/14/1995,24.0,"9 5/8","32 3/8",Auburn,"6' 4""",25.8,Undrafted,76,-
"Tony Washington",WR,10/18/1990,28.4,"9    ","30    ","Appalachian State","5' 10""",28.0,Undrafted,70,-
"Tori Gurley",WR,11/22/1987,31.3,"9 3/4","35    ","South Carolina","6' 4""",28.2,Undrafted,76,-
"Torrence Allen",WR,3/31/1991,28.0,"8 7/8","32 5/8","West Texas A&M","6' 0""",24.8,Undrafted,72,-
"Torrey Smith",WR,1/26/1989,30.2,"8 1/2","32 5/8",Maryland,"6' 0""",27.8,2.26,72,"Carolina Panthers"
"Travin Dural",WR,11/19/1993,25.3,"9 1/8","32 1/8",LSU,"6' 1""",26.6,Undrafted,73,"New Orleans Saints"
"Travis Benjamin",WR,12/29/1989,29.2,"8 3/4","31 3/4","Miami (FL)","5' 10""",25.1,4.05,70,"Los Angeles Chargers"
"Travis Fulgham",WR,-,-,"9 1/2","33 3/4","Old Dominion","6' 2""",27.6,-,74,-
"Travis Labhart",WR,1/20/1991,28.2,"8 1/8","29 1/2","Texas A&M","5' 9""",26.6,Undrafted,69,-
"Travis Rudolph",WR,9/15/1995,23.5,"9 1/4","31 7/8","Florida State","6' 0""",25.6,Undrafted,72,-
"Tre McBride",WR,12/1/1992,26.3,"9    ","32 1/8","William & Mary","6' 0""",28.5,7.28,72,Washington
"Tre'Quan Smith",WR,7/1/1996,22.7,"9 1/2","33 3/8",UCF,"6' 2""",27.0,3.27,74,"New Orleans Saints"
"Trent Bostick",WR,2/26/1995,24.1,-,-,Charlotte,"6' 0""",27.4,Undrafted,72,-
"Trent Sherfield",WR,2/26/1996,23.1,"9 5/8","31 7/8",Vanderbilt,"6' 0""",27.5,Undrafted,72,"Arizona Cardinals"
"Trent Taylor",WR,4/30/1994,24.9,"8 1/4","28 3/4","Louisiana Tech","5' 8""",27.5,5.34,68,"San Francisco 49ers"
"Trevor Davis",WR,7/4/1993,25.7,"10    ","31    ",California,"6' 1""",24.8,5.26,73,"Green Bay Packers"
"Trevor Harman",WR,10/22/1991,27.4,"9    ","31 3/8",Shippensburg,"6' 3""",25.6,Undrafted,75,-
"Trey Griffey",WR,1/19/1994,25.2,"9 3/4","32 1/8",Arizona,"6' 2""",26.8,Undrafted,74,"Pittsburgh Steelers"
"Trey Quinn",WR,12/7/1995,23.3,"10 1/8","30 3/4",SMU,"5' 11""",28.3,7.38,71,Washington
"Trindon Holliday",WR,4/27/1986,32.9,"8 1/4","28 3/8",LSU,"5' 5""",26.5,6.28,65,-
"Troy Pelletier",WR,-,-,"10    ","32 7/8",Lehigh,"6' 3""",27.1,Undrafted,75,-
"Tyler Boyd",WR,11/5/1994,24.4,"9 3/4","32    ",Pittsburgh,"6' 1""",26.0,2.24,73,"Cincinnati Bengals"
"Tyler Lockett",WR,9/28/1992,26.5,"8 3/8","30    ","Kansas State","5' 10""",26.1,3.05,70,"Seattle Seahawks"
"Tyler Rutenbeck",WR,9/15/1991,27.5,"9 1/2","31 1/4",Dubuque,"6' 2""",23.9,Undrafted,74,-
"Tyler Slavin",WR,1/29/1992,27.1,"10 3/4","33    ",UNM-Highlands,"6' 2""",27.6,Undrafted,74,-
"Tyre Brady",WR,4/19/1995,23.9,"9 3/4","33 5/8",Marshall,"6' 3""",26.4,-,75,-
"Tyreek Hill",WR,3/1/1994,25.1,"8    ","30 1/2","West Alabama","5' 10""",26.5,5.28,70,"Kansas City Chiefs"
"Tyrell Williams",WR,2/12/1992,27.1,"9 7/8","33 1/2","Western Oregon","6' 3""",25.5,Undrafted,75,"Oakland Raiders"
"Vernon Johnson",WR,4/17/1992,26.9,"9 3/4","31 3/8","TAMU Commerce","6' 1""",25.1,Undrafted,73,-
"Victor Bolden",WR,4/4/1995,24.0,"9    ","31 1/8","Oregon State","5' 8""",27.1,Undrafted,68,"Buffalo Bills"
"Victor Cruz",WR,11/11/1986,32.4,"9 1/2","31    ",Massachusetts,"6' 0""",27.7,Undrafted,72,-
"Vincent Brown",WR,1/25/1989,30.2,"10 1/4","33    ","San Diego State","5' 11""",26.5,3.18,71,-
"Vincent Jackson",WR,1/14/1983,36.2,"9 5/8","32    ","Northern Colorado","6' 5""",27.3,2.29,77,-
"Vyncint Smith",WR,6/9/1996,22.8,"9 1/2","31 1/2",Limestone,"6' 2""",25.3,Undrafted,74,"Houston Texans"
"Walter Powell",WR,12/23/1991,27.2,"9 1/2","31 5/8","Murray State","5' 11""",26.4,6.20,71,-
"Wendall Williams",WR,9/18/1990,28.5,"9    ","30 7/8",Cumberlands,"5' 11""",25.8,Undrafted,71,-
"Wes Welker",WR,5/1/1981,37.9,-,-,"Texas Tech","5' 9""",27.3,Undrafted,69,-
"Will Fuller",WR,4/16/1994,24.9,"8 1/4","30 3/4","Notre Dame","6' 0""",25.2,1.21,72,"Houston Texans"
"Willie Snead",WR,10/17/1992,26.4,"10 1/4","33    ","Ball State","5' 11""",27.2,Undrafted,71,"Baltimore Ravens"
"Wyatt Demps",WR,3/19/1996,23.0,"9 7/8","31 3/4",Nevada,"6' 3""",25.7,Undrafted,75,-
"Zach Pascal",WR,12/18/1994,24.3,"10    ","32    ","Old Dominion","6' 2""",28.1,Undrafted,74,"Indianapolis Colts"
"Zay Jones",WR,3/30/1995,24.0,"9    ","32 1/2","East Carolina","6' 2""",25.8,2.05,74,"Buffalo Bills"
